timestamp,texto,classe_predita,categoria_predita,score,embedding_usado,modelo_usado,fonte
2025-11-30T21:21:57.780876,"A aplicação de inteligência artificial em investigações criminais requer framework ético rigoroso que previna vieses discriminatórios, garanta transparência algorítmica, proteja direitos individuais e estabeleça limites claros para intervenções tecnológicas.",2,Polícia e Direitos,0.9315683824507076,BERT,SVM,streamlit
2025-11-30T21:22:42.928602,"A educação profissional se configura como elemento estratégico para o desenvolvimento econômico brasileiro. Programas de capacitação técnica, cursos profissionalizantes e parcerias entre educação e mercado ganham protagonismo. Setores como tecnologia, indústria e serviços demandam profissionais altamente qualificados. Investimentos em capital humano se tornam fundamentais para inovação e competitividade. A educação profissional representa ponte entre conhecimento e desenvolvimento econômico.",0,Economia,0.8969670284142465,BERT,SVM,streamlit
2025-11-30T21:26:42.738266,"A educação profissional se configura como elemento estratégico para o desenvolvimento econômico brasileiro. Programas de capacitação técnica, cursos profissionalizantes e parcerias entre educação e mercado ganham protagonismo. Setores como tecnologia, indústria e serviços demandam profissionais altamente qualificados. Investimentos em capital humano se tornam fundamentais para inovação e competitividade. A educação profissional representa ponte entre conhecimento e desenvolvimento econômico.",0,Economia,0.8969670284142465,BERT,SVM,streamlit
2025-11-30T21:26:54.943661,"A educação profissional se configura como elemento estratégico para o desenvolvimento econômico brasileiro. Programas de capacitação técnica, cursos profissionalizantes e parcerias entre educação e mercado ganham protagonismo. Setores como tecnologia, indústria e serviços demandam profissionais altamente qualificados. Investimentos em capital humano se tornam fundamentais para inovação e competitividade. A educação profissional representa ponte entre conhecimento e desenvolvimento econômico.",0,Economia,0.8969670284142465,BERT,SVM,streamlit
2025-11-30T21:29:10.356663,"A formação de atletas vai além do treinamento físico, representando um processo complexo de desenvolvimento humano integral. Escolinhas, categorias de base e programas especializados trabalham na construção de valores, disciplina, resiliência e potencial individual, preparando jovens para desafios esportivos e pessoais.",1,Esportes,0.9181610941886902,TF-IDF,XGBoost,streamlit
2025-11-30T21:29:21.712719,"A formação de atletas vai além do treinamento físico, representando um processo complexo de desenvolvimento humano integral. Escolinhas, categorias de base e programas especializados trabalham na construção de valores, disciplina, resiliência e potencial individual, preparando jovens para desafios esportivos e pessoais.",1,Esportes,0.975213726650058,BERT,SVM,streamlit
2025-11-30T21:29:57.384096,"A formação de atletas vai além do treinamento físico, representando um processo complexo de desenvolvimento humano integral. Escolinhas, categorias de base e programas especializados trabalham na construção de valores, disciplina, resiliência e potencial individual, preparando jovens para desafios esportivos e pessoais.",1,Esportes,0.975213726650058,BERT,SVM,streamlit
2025-11-30T21:30:27.784741,"A formação de atletas vai além do treinamento físico, representando um processo complexo de desenvolvimento humano integral. Escolinhas, categorias de base e programas especializados trabalham na construção de valores, disciplina, resiliência e potencial individual, preparando jovens para desafios esportivos e pessoais.",1,Esportes,0.975213726650058,BERT,SVM,streamlit
2025-11-30T21:37:16.446155,Teste de log do sistema de produção,0,Economia,0.95,TF-IDF,SVM,test_script
2025-11-30T21:37:19.140783,"O Brasil registrou crescimento econômico de 2,5% no último trimestre, impulsionado pelo setor de serviços e investimentos em infraestrutura. Analistas apontam que a recuperação está mais sólida do que o esperado, com perspectivas positivas para os próximos meses.",0,Economia,0.5879648483686817,BERT,SVM,script_producao
